file,seller_name,seller_tax_id,client_name,client_tax_id,invoice_number,invoice_date,net_worth,vat,gross_worth
batch1-0331.jpg,Client:,Tax Id: 965-99-1263,,Tax Id: 965-99-1263,no: 94138597,02/05/2018,,965,
batch1-0332.jpg,Client:,Tax Id: 956-94-0439,,Tax Id: 956-94-0439,no: 13507183,09/09/2015,,956,
batch1-0333.jpg,Client:,Tax Id: 988-96-5706,,Tax Id: 988-96-5706,no: 74819543,10/07/2020,,988,
batch1-0334.jpg,Client:,Tax Id: 909-91-4017,,Tax Id: 909-91-4017,no: 65498230,02/16/2021,6000,909,
batch1-0335.jpg,Client:,Tax Id: 939-82-6262,,Tax Id: 939-82-6262,no: 51467723,04/21/2019,,939,
batch1-0336.jpg,Client:,Tax Id: 993-86-3706,,Tax Id: 993-86-3706,no: 97511742,04/07/2016,,993,
batch1-0337.jpg,Client:,Tax Id: 981-88-6259,,Tax Id: 981-88-6259,no: 94098997,10/04/2020,,981,
batch1-0338.jpg,Client:,Tax Id: 998-92-7755,,Tax Id: 998-92-7755,no: 11926242,03/01/2012,,998,
batch1-0339.jpg,Client:,Tax Id: 967-80-5679,,Tax Id: 967-80-5679,no: 48531206,08/03/2019,",",967,
batch1-0340.jpg,Client:,Tax Id: 999-86-4010,,Tax Id: 999-86-4010,no: 82977013,12/06/2013,,999,
batch1-0341.jpg,Client:,Tax Id: 918-70-1520,,Tax Id: 918-70-1520,no: 86225018,12/18/2015,,918,
batch1-0342.jpg,Client:,Tax Id: 992-88-6386,,Tax Id: 992-88-6386,no: 79064100,05/25/2018,,992,
batch1-0343.jpg,Client:,Tax Id: 952-75-5780,,Tax Id: 952-75-5780,no: 69057610,08/20/2013,,952,
batch1-0344.jpg,Client:,Tax Id: 936-85-0485,,Tax Id: 936-85-0485,no: 85473134,04/24/2017,,936,
batch1-0345.jpg,Client:,Tax Id: 992-84-7640,,Tax Id: 992-84-7640,no: 92919413,10/04/2020,,992,
batch1-0346.jpg,Client:,Tax Id: 934-84-4841,,Tax Id: 934-84-4841,no: 49380136,02/21/2019,,934,
batch1-0347.jpg,Client:,Tax Id: 981-79-3397,,Tax Id: 981-79-3397,no: 89042780,10/16/2015,,981,
batch1-0348.jpg,Client:,Tax Id: 997-98-1436,,Tax Id: 997-98-1436,no: 50956755,09/06/2019,,997,
batch1-0349.jpg,Client:,Tax Id: 944-87-7634,,Tax Id: 944-87-7634,no: 39571754,07/03/2013,,944,
batch1-0350.jpg,Client:,Tax Id: 925-92-0610,,Tax Id: 925-92-0610,no: 39077025,12/15/2011,,925,
batch1-0351.jpg,Client:,Tax Id: 924-90-5219,,Tax Id: 924-90-5219,no: 77015917,12/21/2017,,924,
batch1-0352.jpg,Client:,Tax Id: 906-94-4177,,Tax Id: 906-94-4177,no: 50554106,12/17/2012,,906,
batch1-0353.jpg,Client:,Tax Id: 988-88-5388,,Tax Id: 988-88-5388,no: 10819011,02/09/2018,,988,
batch1-0354.jpg,Client:,Tax Id: 977-75-8747,,Tax Id: 977-75-8747,no: 49929761,02/04/2021,,977,
batch1-0355.jpg,Client:,Tax Id: 907-98-7260,,Tax Id: 907-98-7260,no: 92179921,10/11/2012,,907,
batch1-0356.jpg,Client:,Tax Id: 926-74-8186,,Tax Id: 926-74-8186,no: 23385207,06/23/2012,,926,
batch1-0357.jpg,Client:,Tax Id: 968-92-5785,,Tax Id: 968-92-5785,no: 19507687,09/19/2018,,968,
batch1-0358.jpg,Client:,Tax Id: 968-87-5481,,Tax Id: 968-87-5481,no: 61660848,05/30/2019,,968,
batch1-0359.jpg,Client:,Tax Id: 943-83-6136,,Tax Id: 943-83-6136,no: 29534383,05/30/2017,,943,
batch1-0360.jpg,Client:,Tax Id: 952-95-0332,,Tax Id: 952-95-0332,no: 58126171,08/14/2015,,952,
batch1-0361.jpg,Client:,Tax Id: 907-73-8031,,Tax Id: 907-73-8031,no: 86575728,11/24/2014,,907,
batch1-0362.jpg,Client:,Tax Id: 915-85-0288,,Tax Id: 915-85-0288,no: 76628307,05/05/2019,,915,
batch1-0363.jpg,Client:,Tax Id: 923-84-5244,,Tax Id: 923-84-5244,no: 16499996,05/05/2019,,923,
batch1-0364.jpg,Client:,Tax Id: 988-84-2670,,Tax Id: 988-84-2670,no: 61113263,02/04/2014,,988,
batch1-0365.jpg,Client:,Tax Id: 932-73-0621,,Tax Id: 932-73-0621,no: 41887329,11/26/2020,,932,
batch1-0366.jpg,Client:,Tax Id: 963-76-2257,,Tax Id: 963-76-2257,no: 74583312,05/05/2015,,963,
batch1-0367.jpg,Client:,Tax Id: 932-85-2181,,Tax Id: 932-85-2181,no: 23995139,05/30/2015,,932,
batch1-0368.jpg,Client:,Tax Id: 905-94-4635,,Tax Id: 905-94-4635,no: 87934175,10/19/2016,,905,
batch1-0369.jpg,Client:,Tax Id: 911-83-0636,,Tax Id: 911-83-0636,no: 64809205,08/18/2014,,911,
batch1-0370.jpg,Client:,Tax Id: 997-74-8995,,Tax Id: 997-74-8995,no: 11637316,03/21/2015,,997,
batch1-0371.jpg,Client:,Tax Id: 982-72-2795,,Tax Id: 982-72-2795,no: 39652805,03/20/2020,,982,
batch1-0372.jpg,Client:,Tax Id: 943-86-1330,,Tax Id: 943-86-1330,no: 15172184,08/24/2017,,943,
batch1-0373.jpg,Client:,Tax Id: 910-94-4040,,Tax Id: 910-94-4040,no: 99454334,07/08/2017,,910,
batch1-0374.jpg,Client:,Tax Id: 943-81-3637,,Tax Id: 943-81-3637,no: 87873157,05/09/2017,,943,
batch1-0375.jpg,Client:,Tax Id: 924-73-4934,,Tax Id: 924-73-4934,no: 23897213,07/14/2019,,924,
batch1-0376.jpg,Client:,Tax Id: 963-87-9848,,Tax Id: 963-87-9848,no: 60518602,08/30/2016,,963,
batch1-0377.jpg,Client:,Tax Id: 939-96-7563,,Tax Id: 939-96-7563,no: 35259356,01/20/2018,,939,
batch1-0378.jpg,Client:,Tax Id: 954-81-3871,,Tax Id: 954-81-3871,no: 74263194,03/28/2020,,954,
batch1-0379.jpg,Client:,Tax Id: 948-94-1459,,Tax Id: 948-94-1459,no: 59051048,12/12/2015,,948,
batch1-0380.jpg,Client:,Tax Id: 999-80-5625,,Tax Id: 999-80-5625,no: 13310164,01/16/2020,,999,
batch1-0381.jpg,Client:,Tax Id: 930-74-1829,,Tax Id: 930-74-1829,no: 76272465,01/06/2017,,930,
